id	resource	source	screen
ie-manual:immersiveengineering:lightning_rod.txt:line:4	assets/immersiveengineering/manual/ru_ru/lightning_rod.txt		/1
patchouli-lang:botania:botania.page.elfMessage1	assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_message.json	translation_key:botania.page.elfMessage1	/0
patchouli-lang:botania:botania.page.elfMessage2	assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_message.json	translation_key:botania.page.elfMessage2	/2
patchouli-lang:botania:botania.page.elfMessage3	assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_message.json	translation_key:botania.page.elfMessage3	/2
patchouli-lang:botania:botania.page.elfMessage5	assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_message.json	translation_key:botania.page.elfMessage5	/4
patchouli-lang:botania:botania.page.elfResources0	assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_resources.json	translation_key:botania.page.elfResources0	/0
patchouli-lang:botania:botania.page.elfResources6	assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/elf_resources.json	translation_key:botania.page.elfResources6	/6
patchouli-lang:botania:botania.page.gaiaRitual3	assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/gaia_ritual.json	translation_key:botania.page.gaiaRitual3	/2
patchouli-lang:botania:botania.page.kingKey0	assets/botania/patchouli_books/lexicon/ru_ru/entries/alfhomancy/king_key.json	translation_key:botania.page.kingKey0	/0
patchouli-lang:botania:botania.page.lexicon0	assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/lexicon.json	translation_key:botania.page.lexicon0	/0
patchouli-lang:botania:botania.page.pureDaisy0	assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/pure_daisy.json	translation_key:botania.page.pureDaisy0	/0
patchouli-lang:botania:botania.page.runeAltar21	assets/botania/patchouli_books/lexicon/ru_ru/entries/basics/rune_altar.json	translation_key:botania.page.runeAltar21	/0
